gene	module
LINC01478	black
IGLV1-40	blue
PAX5	red
LINC00996	salmon
IGLV1-51	lightcyan
AP002075.1	red
CUX2	tan
IGHA2	greenyellow
SCN9A	turquoise
LINC01374	turquoise
FCRL1	grey60
IGHGP	pink
TNFRSF17	pink
LINC00926	turquoise
IGHG2	brown
LILRA4	turquoise
EPHB1	turquoise
TP63	turquoise
CLEC4C	turquoise
CYP46A1	turquoise
SLC35F3	turquoise
EBF1	red
BNC2	cyan
COL19A1	red
PTPRS	magenta
TNFRSF21	turquoise
IGHD	turquoise
LINGO2	cyan
CD22	turquoise
SERPINF1	turquoise
NCAM1	cyan
AC104809.2	turquoise
RGS7	lightcyan
POU2AF1	greenyellow
PLEKHG1	cyan
DNASE1L3	turquoise
KLRF1	cyan
FCRL5	salmon
DERL3	salmon
GAS6	turquoise
CD1C	turquoise
CLEC10A	turquoise
SH2D1B	turquoise
CDKN1C	turquoise
SOX5	red
HIST1H2AD	magenta
P2RY14	lightcyan
AKR1C3	pink
PLXNA4	blue
FGFBP2	cyan
MZB1	pink
BANK1	red
TPM2	brown
COBLL1	salmon
AC243829.2	cyan
FCER1A	turquoise
SPIB	turquoise
DAPK2	green
ADGRB3	turquoise
HIST1H3J	turquoise
FCRL6	cyan
FLT3	green
AL158212.2	turquoise
HLA-DOB	red
CXCR5	blue
LGR6	cyan
NRCAM	blue
NRG1	turquoise
JCHAIN	pink
GSG1	turquoise
ADGRG1	cyan
HES4	turquoise
VCAN-AS1	turquoise
AC073320.1	turquoise
XCL2	cyan
LHFPL2	turquoise
PAPSS2	turquoise
NCR1	cyan
BLNK	salmon
AC023590.1	midnightblue
ANGPTL1	tan
KHDRBS2	turquoise
DTHD1	cyan
BLK	turquoise
CD79A	salmon
MSR1	turquoise
EFCAB5	brown
S100B	blue
TXNDC5	turquoise
ALDH1A2	turquoise
MED12L	green
FFAR2	turquoise
TBX21	cyan
GZMB	cyan
CNR2	cyan
PLD4	turquoise
KLRC2	cyan
IGLC3	yellow
FCGR3A	turquoise
IL12RB2	blue
NEK8	midnightblue
RASGRP3	yellow
KLRC3	cyan
MYBL2	salmon
HES1	turquoise
CLIC3	cyan
CUEDC1	turquoise
TRDC	blue
LARGE1	tan
LINC02432	turquoise
PTPRK	blue
SYCP2L	turquoise
CXCL2	turquoise
EML6	salmon
STAP1	magenta
DACH1	turquoise
AC060234.3	lightcyan
NEGR1	turquoise
CCDC50	red
AC091271.1	turquoise
PTGDR	cyan
RUBCNL	salmon
LUCAT1	turquoise
PDGFD	salmon
SLC41A2	turquoise
SMIM25	turquoise
ITM2C	salmon
STAB1	turquoise
KCNMA1	turquoise
KLRD1	cyan
GZMH	cyan
IGLC1	yellow
IGHA1	yellow
PRF1	cyan
FLT1	turquoise
AGAP1	cyan
C11orf1	brown
IGHM	salmon
LINC02446	cyan
ABCC3	turquoise
CCDC26	turquoise
NDRG2	yellow
ZEB2-AS1	green
CACNA2D3	turquoise
AQP9	turquoise
GZMK	grey60
MANEA	midnightblue
CYP27A1	turquoise
ADGRE1	turquoise
EREG	turquoise
ADAM28	turquoise
PADI4	turquoise
LINC00299	cyan
SLC24A4	turquoise
MS4A7	turquoise
ZFAT	salmon
CPNE5	turquoise
SPON2	cyan
C1orf21	cyan
RAB20	turquoise
CLEC4E	turquoise
LDLRAD3	turquoise
HCAR2	turquoise
TREM1	turquoise
P2RX5	blue
AC120193.1	turquoise
ENPP2	blue
IRF4	salmon
SIRPA	turquoise
BCL11A	turquoise
FCAR	turquoise
AF111167.1	turquoise
DENND5B	salmon
WDR49	turquoise
ST6GALNAC4	red
LINC00937	turquoise
TCF4	lightcyan
RHOBTB3	salmon
IFNG	cyan
AL163932.1	yellow
PDLIM1	red
CADM1	grey60
SIRPD	turquoise
CD8B	cyan
THBS1	turquoise
CST7	cyan
CCSER1	turquoise
ACSM3	purple
LIN7A	turquoise
CD40	turquoise
MCC	blue
MS4A4E	turquoise
GLT1D1	turquoise
ST14	turquoise
IGFBP7	turquoise
CD8A	blue
AC011472.2	turquoise
RBMS3	blue
COL18A1	midnightblue
MAFB	turquoise
FBN2	turquoise
ADGRG5	cyan
GASK1B	turquoise
TRAF4	grey60
CHST7	purple
HIST1H2BG	pink
DYSF	turquoise
TLR4	turquoise
F13A1	turquoise
AC007569.1	salmon
IRF8	turquoise
Z93241.1	yellow
C1orf54	red
CXCL16	turquoise
TMEM144	turquoise
LGMN	red
TRGC2	blue
CDA	turquoise
TTC38	cyan
HOPX	cyan
FMNL2	turquoise
CD300E	turquoise
PDGFC	green
TUBB6	turquoise
ABHD15	cyan
NLRP12	turquoise
LINC01684	magenta
MS4A4A	turquoise
FCRL3	blue
FCGR2B	turquoise
ST3GAL4	green
HK3	turquoise
PHLDA1	blue
CALCRL	green
HSPA6	turquoise
LINC01505	cyan
SHTN1	turquoise
NCR3	blue
IFITM3	turquoise
WDFY3	turquoise
JDP2	turquoise
IL2RB	yellow
CD79B	red
LINC02384	turquoise
MITF	turquoise
HCAR3	turquoise
CLCN5	turquoise
SEMA3C	green
FAM157C	turquoise
SLC16A5	turquoise
LINC02694	cyan
ARHGEF10L	turquoise
G0S2	turquoise
RETN	turquoise
CPED1	turquoise
RTN1	turquoise
HLA-DOA	turquoise
RIN2	turquoise
IL13RA1	turquoise
P2RY13	turquoise
